CD_MOEDA_PAR;CD_MOEDA_REP;CD_TAB_PRC_ITEM;FL_ATIVO;ID_ESPECIALIDADE;ID_GRUPO_CARENCIA;ID_GRUPO_PRC;ID_MOEDA_PAC;ID_MOEDA_REP;ID_PRESTADOR;ID_TAB_GEN_ITEM;ID_TAB_PRC;ID_TAB_PRC_ITEM;ID_TIPO_CAL_PRC;NM_MOEDA_PAR;NM_MOEDA_REP;TX_ATIVO;TX_ESPECIALIDADE;TX_FORMA_CALCULO;TX_GRUPO_CARENCIA;TX_GRUPO_CLINICO;TX_GRUPO_PRC;TX_GRUPO_SIP;TX_ID_TAB_PRC_ITEM;CD_TAB_GEN_ITEM;TX_NOME_GEN;TX_NOME_PRC;TX_NOME;TX_NOME_TAB_PRC;TX_VL_PAC;TX_VL_REP;TX_SITUACAO;TX_TIME_STAMP_INS;TX_TIME_STAMP_UPD;ID_TIPO_MARCACAO;TX_TIPO_MARCACAO;VL_PAC;VL_QTD_PONTOS;VL_REP;VL_TEMPO;TX_VL_TEMPO;ID_SIMBOLO_ODONTO;FL_FAVORITO;TX_FAVORITO;ID_CONTA_REGISTRO;CD_TIPO_TABELA;TX_PESQUISA
R$;R$;85100064;VERDADEIRO;1;;1;255;255;29965;526;44869;11662090;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;11662090;85100064;Faceta direta em resina fotopolimerizável;Faceta direta em resina fotopolimerizável;Faceta direta em resina fotopolimerizável;Particular;R$ 0,00;R$ 0,00;Ativo;11/12/2023 22:05 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);;;;;;39;FALSO;;13921;;85100064  Faceta direta em resina fotopolimerizávelDentística
R$;R$;85100072;VERDADEIRO;1;;1;255;255;29965;527;44869;11662091;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;11662091;85100072;Placa de acetato para clareamento caseiro;Placa de acetato para clareamento caseiro;Placa de acetato para clareamento caseiro;Particular;R$ 0,00;R$ 0,00;Ativo;11/12/2023 22:05 - Bruna Carvalho Patricio Madeira;;5;Geral (ex: Profilaxia);;;;;;37;FALSO;;13921;;85100072  Placa de acetato para clareamento caseiroDentística
R$;R$;85100072;VERDADEIRO;1;;1;255;255;29965;527;55819;14366977;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14366977;85100072;Placa de acetato para clareamento caseiro;Placa de acetato para clareamento caseiro;Placa de acetato para clareamento caseiro;PROCEDIMNETOS ESTÉTICA;R$ 0,00;R$ 0,00;Ativo;20/02/2025 10:23 - Bruna Carvalho Patricio Madeira;;5;Geral (ex: Profilaxia);;;;;;37;FALSO;;13921;00;85100072  Placa de acetato para clareamento caseiroDentística
R$;R$;85100072;VERDADEIRO;1;;1;255;255;29965;527;56188;14494687;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14494687;85100072;Placa de acetato para clareamento caseiro;Placa de acetato para clareamento caseiro;Placa de acetato para clareamento caseiro;Rinomodelação;R$ 0,00;R$ 0,00;Ativo;26/02/2025 20:03 - Bruna Carvalho Patricio Madeira;;5;Geral (ex: Profilaxia);;;;;;37;FALSO;;13921;00;85100072  Placa de acetato para clareamento caseiroDentística
R$;R$;85100080;VERDADEIRO;1;;1;255;255;29965;528;56188;14494688;1;Reais;Reais;Sim;Dentística;Elemento/face;;Outros;Procedimento;;14494688;85100080;Restauração atraumática em dente permanente;Restauração atraumática em dente permanente;Restauração atraumática em dente permanente;Rinomodelação;R$ 0,00;R$ 0,00;Ativo;26/02/2025 20:03 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);;;;;;84;FALSO;;13921;00;85100080  Restauração atraumática em dente permanenteDentística
R$;R$;85100080;VERDADEIRO;1;;1;255;255;29965;528;55819;14366978;1;Reais;Reais;Sim;Dentística;Elemento/face;;Outros;Procedimento;;14366978;85100080;Restauração atraumática em dente permanente;Restauração atraumática em dente permanente;Restauração atraumática em dente permanente;PROCEDIMNETOS ESTÉTICA;R$ 0,00;R$ 0,00;Ativo;20/02/2025 10:23 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);;;;;;84;FALSO;;13921;00;85100080  Restauração atraumática em dente permanenteDentística
R$;R$;85100080;VERDADEIRO;1;;1;255;255;29965;528;44869;11662092;1;Reais;Reais;Sim;Dentística;Elemento/face;;Outros;Procedimento;;11662092;85100080;Restauração atraumática em dente permanente;Restauração atraumática em dente permanente;Restauração atraumática em dente permanente;Particular;R$ 0,00;R$ 0,00;Ativo;11/12/2023 22:05 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);;;;;;84;FALSO;;13921;;85100080  Restauração atraumática em dente permanenteDentística
R$;R$;85.100.080;VERDADEIRO;1;;1;255;255;29965;528;84483;22114157;1;Reais;Reais;Sim;Dentística;Elemento/face;;Outros;Procedimento;;22114157;85100080;Restauração atraumática em dente permanente;Restauração atraumática em dente permanente;Restauração atraumática em dente permanente;OdontoPrev - Rede UNNA;R$ 0,00;R$ 0,00;Ativo;03/03/2026 11:19 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);0;;0;;;84;FALSO;;13921;00;85.100.080Restauração atraumática em dente permanenteDentística
R$;R$;85.100.099;VERDADEIRO;1;;1;255;255;29965;529;84483;22114158;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;22114158;85100099;Restauração de amálgama - 1 face;Restauração de amálgama  - 1 face;Restauração de amálgama  - 1 face;OdontoPrev - Rede UNNA;R$ 0,00;R$ 0,00;Ativo;03/03/2026 11:19 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);0;;0;;;4;FALSO;;13921;00;85.100.099Restauração de amálgama  - 1 faceDentística
R$;R$;85100099;VERDADEIRO;1;;1;255;255;29965;529;44869;11662093;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;11662093;85100099;Restauração de amálgama - 1 face;Restauração de amálgama - 1 face;Restauração de amálgama - 1 face;Particular;R$ 0,00;R$ 0,00;Ativo;11/12/2023 22:05 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;;85100099  Restauração de amálgama - 1 faceDentística
R$;R$;85100099;VERDADEIRO;1;;1;255;255;29965;529;55819;14366979;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14366979;85100099;Restauração de amálgama - 1 face;Restauração de amálgama - 1 face;Restauração de amálgama - 1 face;PROCEDIMNETOS ESTÉTICA;R$ 0,00;R$ 0,00;Ativo;20/02/2025 10:23 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;00;85100099  Restauração de amálgama - 1 faceDentística
R$;R$;85100099;VERDADEIRO;1;;1;255;255;29965;529;56188;14494689;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14494689;85100099;Restauração de amálgama - 1 face;Restauração de amálgama - 1 face;Restauração de amálgama - 1 face;Rinomodelação;R$ 0,00;R$ 0,00;Ativo;26/02/2025 20:03 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;00;85100099  Restauração de amálgama - 1 faceDentística
R$;R$;85100102;VERDADEIRO;1;;1;255;255;29965;530;56188;14494690;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14494690;85100102;Restauração de amálgama - 2 faces;Restauração de amálgama - 2 faces;Restauração de amálgama - 2 faces;Rinomodelação;R$ 0,00;R$ 0,00;Ativo;26/02/2025 20:03 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;00;85100102  Restauração de amálgama - 2 facesDentística
R$;R$;85100102;VERDADEIRO;1;;1;255;255;29965;530;55819;14366980;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14366980;85100102;Restauração de amálgama - 2 faces;Restauração de amálgama - 2 faces;Restauração de amálgama - 2 faces;PROCEDIMNETOS ESTÉTICA;R$ 0,00;R$ 0,00;Ativo;20/02/2025 10:23 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;00;85100102  Restauração de amálgama - 2 facesDentística
R$;R$;85100102;VERDADEIRO;1;;1;255;255;29965;530;44869;11662094;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;11662094;85100102;Restauração de amálgama - 2 faces;Restauração de amálgama - 2 faces;Restauração de amálgama - 2 faces;Particular;R$ 0,00;R$ 0,00;Ativo;11/12/2023 22:05 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;;85100102  Restauração de amálgama - 2 facesDentística
R$;R$;85.100.102;VERDADEIRO;1;;1;255;255;29965;530;84483;22114159;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;22114159;85100102;Restauração de amálgama - 2 faces;Restauração de amálgama - 2 faces;Restauração de amálgama - 2 faces;OdontoPrev - Rede UNNA;R$ 0,00;R$ 0,00;Ativo;03/03/2026 11:19 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);0;;0;;;4;FALSO;;13921;00;85.100.102Restauração de amálgama - 2 facesDentística
R$;R$;85.100.110;VERDADEIRO;1;;1;255;255;29965;531;84483;22114160;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;22114160;85100110;Restauração de amálgama - 3 faces;Restauração de amálgama - 3 faces;Restauração de amálgama - 3 faces;OdontoPrev - Rede UNNA;R$ 0,00;R$ 0,00;Ativo;03/03/2026 11:19 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);0;;0;;;4;FALSO;;13921;00;85.100.110Restauração de amálgama - 3 facesDentística
R$;R$;85100110;VERDADEIRO;1;;1;255;255;29965;531;44869;11662095;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;11662095;85100110;Restauração de amálgama - 3 faces;Restauração de amálgama - 3 faces;Restauração de amálgama - 3 faces;Particular;R$ 0,00;R$ 0,00;Ativo;11/12/2023 22:05 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;;85100110  Restauração de amálgama - 3 facesDentística
R$;R$;85100110;VERDADEIRO;1;;1;255;255;29965;531;55819;14366981;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14366981;85100110;Restauração de amálgama - 3 faces;Restauração de amálgama - 3 faces;Restauração de amálgama - 3 faces;PROCEDIMNETOS ESTÉTICA;R$ 0,00;R$ 0,00;Ativo;20/02/2025 10:23 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;00;85100110  Restauração de amálgama - 3 facesDentística
R$;R$;85100110;VERDADEIRO;1;;1;255;255;29965;531;56188;14494691;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14494691;85100110;Restauração de amálgama - 3 faces;Restauração de amálgama - 3 faces;Restauração de amálgama - 3 faces;Rinomodelação;R$ 0,00;R$ 0,00;Ativo;26/02/2025 20:03 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;00;85100110  Restauração de amálgama - 3 facesDentística
R$;R$;85100129;VERDADEIRO;1;;1;255;255;29965;532;56188;14494692;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14494692;85100129;Restauração de amálgama - 4 faces;Restauração de amálgama - 4 faces;Restauração de amálgama - 4 faces;Rinomodelação;R$ 0,00;R$ 0,00;Ativo;26/02/2025 20:03 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;00;85100129  Restauração de amálgama - 4 facesDentística
R$;R$;85100129;VERDADEIRO;1;;1;255;255;29965;532;55819;14366982;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14366982;85100129;Restauração de amálgama - 4 faces;Restauração de amálgama - 4 faces;Restauração de amálgama - 4 faces;PROCEDIMNETOS ESTÉTICA;R$ 0,00;R$ 0,00;Ativo;20/02/2025 10:23 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;00;85100129  Restauração de amálgama - 4 facesDentística
R$;R$;85100129;VERDADEIRO;1;;1;255;255;29965;532;44869;11662096;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;11662096;85100129;Restauração de amálgama - 4 faces;Restauração de amálgama - 4 faces;Restauração de amálgama - 4 faces;Particular;R$ 0,00;R$ 0,00;Ativo;11/12/2023 22:05 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;;85100129  Restauração de amálgama - 4 facesDentística
R$;R$;85.100.129;VERDADEIRO;1;;1;255;255;29965;532;84483;22114161;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;22114161;85100129;Restauração de amálgama - 4 faces;Restauração de amálgama - 4 faces;Restauração de amálgama - 4 faces;OdontoPrev - Rede UNNA;R$ 0,00;R$ 0,00;Ativo;03/03/2026 11:19 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);0;;0;;;4;FALSO;;13921;00;85.100.129Restauração de amálgama - 4 facesDentística
R$;R$;85.100.137;VERDADEIRO;1;;1;255;255;29965;533;84483;22114162;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;22114162;85100137;Restauração em ionômero de vidro - 1 face;Restauração em ionômero de vidro - 1 face;Restauração em ionômero de vidro - 1 face;OdontoPrev - Rede UNNA;R$ 0,00;R$ 0,00;Ativo;03/03/2026 11:19 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);0;;0;;;4;FALSO;;13921;00;85.100.137Restauração em ionômero de vidro - 1 faceDentística
R$;R$;85100137;VERDADEIRO;1;;1;255;255;29965;533;44869;11662097;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;11662097;85100137;Restauração em ionômero de vidro - 1 face;Restauração em ionômero de vidro - 1 face;Restauração em ionômero de vidro - 1 face;Particular;R$ 0,00;R$ 0,00;Ativo;11/12/2023 22:05 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;;85100137  Restauração em ionômero de vidro - 1 faceDentística
R$;R$;85100137;VERDADEIRO;1;;1;255;255;29965;533;55819;14366983;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14366983;85100137;Restauração em ionômero de vidro - 1 face;Restauração em ionômero de vidro - 1 face;Restauração em ionômero de vidro - 1 face;PROCEDIMNETOS ESTÉTICA;R$ 0,00;R$ 0,00;Ativo;20/02/2025 10:23 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;00;85100137  Restauração em ionômero de vidro - 1 faceDentística
R$;R$;85100137;VERDADEIRO;1;;1;255;255;29965;533;56188;14494693;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14494693;85100137;Restauração em ionômero de vidro - 1 face;Restauração em ionômero de vidro - 1 face;Restauração em ionômero de vidro - 1 face;Rinomodelação;R$ 0,00;R$ 0,00;Ativo;26/02/2025 20:03 - Bruna Carvalho Patricio Madeira;;1;Face (ex: Restauração);;;;;;4;FALSO;;13921;00;85100137  Restauração em ionômero de vidro - 1 faceDentística
